geneid, patientid, expression value
0, 0, 162202.31
0, 1, 703395.18
0, 2, 92808.74
0, 3, 712276.71
0, 4, 1472417.86
0, 5, 584545.21
0, 6, -184945.48
0, 7, 1728841.62
0, 8, 12838.60
0, 9, 614838.67
1, 0, -152570.82
1, 1, 1598302.85
1, 2, 1825057.15
1, 3, 471830.02
1, 4, 1465821.17
1, 5, 1608050.74
1, 6, 150703.03
1, 7, 1947054.52
1, 8, 709660.83
1, 9, 1008886.23
2, 0, 116366.58
2, 1, 333180.19
2, 2, 370544.72
2, 3, 977032.98
2, 4, 630272.60
2, 5, -47149.25
2, 6, -46274.15
2, 7, 151434.66
2, 8, 1822963.30
2, 9, 1231713.34
3, 0, 1808042.81
3, 1, 1785203.28
3, 2, 1426068.55
3, 3, -89409.68
3, 4, 1969598.62
3, 5, 1949362.17
3, 6, 93174.03
3, 7, 1284193.96
3, 8, 571658.10
3, 9, 787627.20
4, 0, 1679417.01
4, 1, 934657.75
4, 2, 1442274.50
4, 3, 1180625.57
4, 4, 784470.10
4, 5, 1918703.16
4, 6, 1490952.52
4, 7, 1242267.56
4, 8, 79045.16
4, 9, 654186.98
5, 0, 675166.33
5, 1, 845930.04
5, 2, -130874.29
5, 3, 1630625.78
5, 4, 874474.78
5, 5, 34291.85
5, 6, 1259285.20
5, 7, -88127.94
5, 8, -22884.91
5, 9, 1129345.85
6, 0, 764510.77
6, 1, 1030049.45
6, 2, 1469337.71
6, 3, 1258228.99
6, 4, 1813392.74
6, 5, 330649.96
6, 6, 787443.75
6, 7, 1771028.66
6, 8, 510641.13
6, 9, 394530.82
7, 0, 315509.58
7, 1, 1463158.13
7, 2, 353279.41
7, 3, 743288.26
7, 4, 832264.59
7, 5, -177583.96
7, 6, 1839711.20
7, 7, 1815031.33
7, 8, 708197.82
7, 9, 1896234.64
8, 0, 956248.08
8, 1, 1105975.02
8, 2, 843490.63
8, 3, 1038512.82
8, 4, 276017.40
8, 5, 60915.79
8, 6, -82443.27
8, 7, 1064130.43
8, 8, 1396141.17
8, 9, 28766.72
9, 0, 169868.14
9, 1, 1472756.72
9, 2, -126839.91
9, 3, 367793.58
9, 4, 662391.37
9, 5, 818077.07
9, 6, 135173.44
9, 7, 1625233.30
9, 8, 1114203.16
9, 9, 1110940.47
